majorID,courseCode,courseName,courseDesc,credits,coursePrereq,isElective,courseElims,oldCourseCode
-4,ECON 2002,Contemporary Problems of the Economy,"Instability, monopoly, inequality, poverty, development. Topics studied vary with each section and reflect the interests of the students and the instructor. Intended for nonmajors.",3,,,,Economics 0.1
-4,ECON 2100,Elementary Macroeconomics,"Contemporary economic analysis of the operation of the United States economy. Role of markets and the determination of the overall level of economic activity. Dynamic process of growth, inflation, and international trade.",4,CUNY_READINESS or ANY MATH 1011+,,BUSN 2100,Economics 10.1
-4,ECON 2200,Elementary Microeconomics,"Basic laws and principles of economic science. Value, price, and distribution. Preparation for more comprehensive studies involving application of the tools of analysis to economic problems.",3,CUNY_READINESS or ANY MATH 1011+,,BUSN 2200,Economics 20.1
-4,ECON 3102,Intermediate Macroeconomics,"Static and dynamic analysis of national income measurement; aggregate approaches to theories of income; employment, prices, interest rates; public policies for growth and stabilization.",3,ECON 2200; AND (ECON 3410 or MATH 1201 or 1231 or EQUIV),,Economics 19.1,Economics 10.2
-4,ECON 3152,Theory of Economic Growth,"Steady state growth equilibria, comparative dynamics, and disequilibrium growth. Post-Keynesian, neoclassical, and neo-Ricardian models. Production functions and the capital valuation problem; the duality of the growth rate and the profit rate; two-sector and multisector models; the golden rule and problems of optimal growth. Critical analysis of growth models. Structural requirements and behavioral conditions for existence and stability of equilibrium. Fundamental question of why economies generate pressures for growth.",3,ECON 2200 AND 3410 or EQUIV,,,Economics 10.4
-4,ECON 3153,Socialist Thought,"Various forms of socialism in their historical setting. Ideologies, critiques of capitalism, and programs of change.",3,ECON 2200,,,Economics 75.4
-4,ECON 3154,Women and the Contemporary Economy,History of the socioeconomic position of women; evidence on the changing economic position of women in the post-civil rights era; assessments of the welfare-to-work transition; political economy of marriage and childbearing decisions.,3,ECON 2100,,WGST 3317,Economics 40.6
-4,ECON 3165,American Economics History,"The nature and sources of American economic growth from the colonial period to the present. The development of colonial economy; economic growth before the Civil War; industrialization of the American economy and the rise of big business; government, business, and labor, including the changing participation of women and minorities in the era of industrial maturity; the creation of a managed economy in the mid-twentieth century.",3,HIST 3005 or ECON 2100 or Chairperson or Custom,,HIST 3470,
-4,ECON 3202,Intermediate Microeconomics,Methods and results of economic analysis used in interpretation of economic data and in solution of economic problems. Outstanding exponents of major theoretical approaches.,3,ECON 2200 AND (ECON 3410 or MATH 1201 or 1231 or EQUIV),,,Economics 20.2
-4,ECON 3212,Labor Economics,"Labor force concepts, composition, trends, and measurements. Human resource development problems in relation to population and economic growth. Wage patterns and theories. Characteristic risks and problems of the wage earner. Legislative and private attempts to secure full employment. Insecurity and underutilization of the labor force.",3,ECON 2100,,,Economics 40.1
-4,ECON 3222,Economics of Discrimination,"Discrimination in labor markets as it applies to sex, race, ethnic, and religious groups. Historical and theoretical analysis of the relationship of discrimination to economic systems, presented from alternative perspectives. Slavery, immigration, unionization, affirmative action, and the problem of quotas.",3,ECON 2100,,,Economics 40.5
