majorID,courseCode,courseName,courseDesc,credits,coursePrereq,isElective,courseElims
3,MATH 1006,College Algebra for Precalculus,"Real Numbers, Sets and Intervals, Absolute Value, Exponents and Radicals, Algebraic Expressions, Polynomials, Rational Expressions, Factoring, Solving Basic Equations, Solving Equations Involving Radicals, Solving Quadratic Equations, The Coordinate Plane, Lines, Introduction to Functions and Relations, Linear Functions in Two Variables, Systems of Linear Equations, Graphs of linear and quadratic functions. Starting Fall 2019 qualifies as STEM variant course - Satisfies Pathways Required Core Math and Quantitative Reasoning requirement.",3,Placement,,
3,MATH 1010,Problem Solving for College Mathematics,"An enhancement on the skill of problem-solving in Math 1021, with use of manipulatives and technology.",1,CO MATH 1021 or Equivalent,,
3,MATH 1011,Precalculus Mathematics,"Preparation for calculus. Trigonometry. The concept of function, including, linear and quadratic functions, composition of functions, polynomials and rational functions, exponential, logarithmic, trigonometric, and inverse trigonometric functions. Conic sections. Binomial theorem. Introduction to limit ideas. ",3,MATH 1006 (B-) or COMPASS or ACCUPLACER or Placement or Deputy_Chair,,MATH 1021 or 1026 or 1201 or 1206 or ANY 2000+
3,MATH 1012,Precalculus with Recitation,"Preparation for calculus. Trigonometry. The concept of function, including, linear and quadratic functions, composition of functions, polynomials and rational functions, exponential, logarithmic, trigonometric, and inverse trigonometric functions. Conic sections. Binomial theorem. Introduction to limit ideas.",3,MATH 1006 or COMPASS or ACCUPLACER or Placement or Deputy_Chair,,MATH 1021 or 1026 or 1201 or 1206 or ANY 2000+
3,MATH 1021,Precalculus Mathematics A,"Preparation for calculus with more introductory material than Mathematics 1011. Mathematics 1021 and 1026 constitute a two-term sequence for students who are not prepared for Mathematics 1011 or who wish a review. Real numbers. Complex numbers. Graphs. Functions, especially linear and quadratic functions. Polynomials and rational functions. Introduction to logarithmic and exponential functions.",2,CUNY_READINESS,,MATH 1011 or 1201 or 1206 or ANY 2000+
3,MATH 1026,Precalculus Mathematics B,Continuation of Mathematics 1021. More extensive study of functions; composition of functions. General inverse functions. Trigonometric and inverse trigonometric functions. Conic sections. Binomial theorem.,2,MATH 1021 or COMPASS or ACCUPLACER or Placement,,MATH 1011 or 1201 or 1206 or ANY 2000+
3,MATH 1031,Introduction to Mathematics for the Social Sciences and Business,Graphs; functions; polynomial and rational functions; exponential and logarithmic functions; the parabola; systems of linear equations and inequalities; geometric series; the binomial theorem. ,2,2_Years_Sequential_Math or HS_Math_A,,ANY MATH 1011+
3,MATH 1101,Introduction to Mathematical Thinking,"Analysis, on an elementary level, of the nature of mathematical reasoning; elements of set theory; some simple postulational systems. ",3,Course_2_NYS_SMC or HS_Geometry_Inter-Algebra or ANY MATH,,MATH 1011 or ANY 1201+ or CISC 2210
3,MATH 1102,Elementary Number Theory,"Fundamental properties of integers and related systems, in particular of primes, factorization, and divisibility.",3,Course_2_NYS_SMC or HS_Geometry_Inter-Algebra or ANY MATH,,ANY MATH 2001+
3,MATH 1201,Calculus I,"Mathematics 1201, 1206 and 2201 constitute a three-term sequence. Mathematics 1201 is an introduction to calculus: limits and continuity; derivatives and integrals of algebraic, exponential, logarithmic, and trigonometric functions of one variable; methods of numerical approximation, and applications of the derivative to mathematics, physics, engineering, biology, chemistry, and other fields.",4,MATH 1011 or 1012 or 1026 or COMPASS or ACCUPLACER or Placement,,
3,MATH 1206,Calculus II,"Trigonometric and inverse trigonometric functions, techniques (closed form and numerical) and applications of integration for functions of one variable, improper integrals, l'Hopital's rule, sequences, series, and polar coordinates.",4,MATH 1201,,
3,MATH 1211,Infinite Series,"Intended for students who completed Calculus II, without infinite series. Taylor series; tests for convergence.",1,MATH 1206 or Chairperson,,
3,MATH 1231,"Applied Calculus for Economics, Business and Finance","An applied calculus course aimed primarily at economics, business and finance students. Detailed study of functions and their properties (linear, polynomial, exponential, and logarithmic), with applications to economics, business and finance. Basic regression. An intuitive introduction to limits, the tangent line, and differentiation of algebraic and exponential functions. Strong emphasis on applications to business, economics, and finance. ",4,MATH 1006 or Placement,,
3,MATH 1301,Basic Concepts of Geometry,"Analysis, on an elementary level, of the nature of mathematics. Geometries of various types.",3,Course_2_NYS_SMC or HS_Geometry_Inter-Algebra or ANY MATH or Chairperson,,ANY MATH 1711+
3,MATH 1311,Thinking Mathematically,"Problem solving and applications of mathematical thinking in the real world and in the ideal world of mathematics. Elementary number theory, probability, geometry, and their applications. Number systems and the sizes of various infinite sets. Additional topics chosen from: elementary topology, discrete mathematics, chaos and fractals, probability.",3,,,MATH 1006 or 1011 or 1012 or 1026 or 1201 or 1206 or 1501 or ANY 2001+
3,MATH 1401,Elementary Mathematics from an Advanced Standpoint,Mathematics content needed for teaching major strands in the early childhood and elementary school mathematics curriculum: Problem Solving; Sets; Number Systems; Geometry; Probability and Statistics.,4,MATH 1006 or 1311 or 1021 AND 1010 or ANY_3CR_MATH or Chairperson,,ANY MATH 1206+ or MATH 1201 (B-)
